City,Specialization,Name,Experience,Fees,Location,Phone Number
agra,general-physician,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,general-physician,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,general-physician,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,general-physician,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,general-physician,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,general-physician,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,general-physician,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,general-physician,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,general-physician,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,general-physician,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,dentist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,dentist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,dentist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,dentist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dentist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,dentist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dentist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,dentist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,dentist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dentist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,cardiologist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,cardiologist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,cardiologist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,cardiologist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,cardiologist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,cardiologist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,cardiologist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,cardiologist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,cardiologist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,cardiologist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,ophthalmologist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,ophthalmologist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,ophthalmologist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,ophthalmologist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ophthalmologist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,ophthalmologist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ophthalmologist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,ophthalmologist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,ophthalmologist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,ophthalmologist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,dermatologist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,dermatologist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,dermatologist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,dermatologist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dermatologist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,dermatologist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dermatologist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,dermatologist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,dermatologist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,dermatologist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,neurologist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,neurologist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,neurologist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,neurologist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,neurologist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,neurologist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,neurologist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,neurologist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,neurologist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,neurologist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,urologist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,urologist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,urologist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
agra,urologist,Dr. Jaideep Malhotra,39 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,urologist,Mr. J.S. Indolia (Physiotherapist),13 years experience overall,₹300,"Dayal Bagh,, Agra",N/A
agra,urologist,Dr. Neharika Malhotra,16 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,urologist,Dr. Himanshu Kumar Singh,11 years experience overall,₹600,"Bodla,, Agra",N/A
agra,urologist,Dr. Sumit Kumar Agarwal,15 years experience overall,₹400,"Kamla Nagar,, Agra",N/A
agra,urologist,Dr. Neerja Sachdev,22 years experience overall,₹1000,"Sikandra,, Agra",N/A
agra,urologist,Ms. Rachna Agarwal,31 years experience overall,₹600,"Khandari,, Agra",N/A
agra,orthodontist,Dr. Pankaj Biswas,14 years experience overall,₹500,"New Agra,, Agra",N/A
agra,orthodontist,Dr. Jagdish Gupta,17 years experience overall,₹450,"Arjun Nagar,, Agra",N/A
agra,orthodontist,Dr. Neeraj Sharma,16 years experience overall,₹350,"Sikandra,, Agra",N/A
